Country or territory of asylum or residence,"Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"France","Bangladesh","2009","2001","","2001","0"
"France","Belarus","2009","432","","432","0"
"France","Benin","2009","15","","15","0"
"France","Bhutan","2009","41","","41","0"
"France","Bolivia (Plurinational State of)","2009","41","","41","0"
"France","Bosnia and Herzegovina","2009","4041","","4041","0"
"France","Brazil","2009","9","","9","0"
"France","Bulgaria","2009","84","","84","0"
"France","Burkina Faso","2009","58","","58","0"
"France","Burundi","2009","307","","307","0"
"France","Cambodia","2009","13122","","13122","0"
"France","Cameroon","2009","617","","617","0"
"France","Central African Rep.","2009","565","","565","0"
"France","Chad","2009","980","","980","0"
"France","Chile","2009","77","","77","0"
"France","China","2009","858","","858","0"
"France","Colombia","2009","424","","424","0"
"France","Comoros","2009","231","","231","0"
"France","Congo","2009","3030","","3030","0"
"France","Côte d'Ivoire","2009","1787","","1787","0"
"France","Croatia","2009","75","","75","0"
"France","Cuba","2009","121","","121","0"
"France","Czech Rep.","2009","26","","26","0"
"France","Dem. Rep. of the Congo","2009","10841","","10841","0"
"France","Djibouti","2009","84","","84","0"
"France","Ecuador","2009","35","","35","0"
"France","Egypt","2009","129","","129","0"
"France","El Salvador","2009","17","","17","0"
"France","Equatorial Guinea","2009","31","","31","0"
"France","Eritrea","2009","369","","369","0"
"France","Estonia","2009","10","","10","0"
"France","Ethiopia","2009","458","","458","0"
"France","Gabon","2009","20","","20","0"
"France","Gambia","2009","79","","79","0"
"France","Georgia","2009","2105","","2105","0"
"France","Germany","2009","10","","10","0"
"France","Ghana","2009","573","","573","0"
"France","Guatemala","2009","19","","19","0"
"France","Guinea","2009","2649","","2649","0"
"France","Guinea-Bissau","2009","873","","873","0"
"France","Haiti","2009","3312","","3312","0"
"France","Honduras","2009","0","","0","0"
"France","Hungary","2009","62","","62","0"
"France","India","2009","212","","212","0"
"France","Indonesia","2009","6","","6","0"
"France","Iraq","2009","2147","","2147","0"
"France","Islamic Rep. of Iran","2009","1735","","1735","0"
"France","Jordan","2009","5","","5","0"
"France","Kazakhstan","2009","359","","359","0"
"France","Kenya","2009","18","","18","0"
"France","Kyrgyzstan","2009","159","","159","0"
"France","Lao People's Dem. Rep.","2009","7473","","7473","0"
"France","Latvia","2009","45","","45","0"
"France","Lebanon","2009","98","","98","0"
"France","Liberia","2009","221","","221","0"
"France","Libya","2009","14","","14","0"
"France","Lithuania","2009","12","","12","0"
"France","Madagascar","2009","216","","216","0"
"France","Mali","2009","2034","","2034","0"
"France","Mauritania","2009","4393","","4393","0"
"France","Mauritius","2009","0","","0","0"
"France","Mexico","2009","5","","5","0"
"France","Mongolia","2009","254","","254","0"
"France","Montenegro","2009","21","","21","0"
"France","Morocco","2009","113","","113","0"
"France","Mozambique","2009","11","","11","0"
"France","Myanmar","2009","163","","163","0"
"France","Nepal","2009","50","","50","0"
"France","Niger","2009","39","","39","0"
"France","Nigeria","2009","658","","658","0"
"France","Pakistan","2009","378","","378","0"
"France","Peru","2009","268","","268","0"
"France","Poland","2009","179","","179","0"
"France","Rep. of Moldova","2009","387","","387","0"
"France","Romania","2009","183","","183","0"
"France","Russian Federation","2009","8942","","8942","0"
"France","Rwanda","2009","2360","","2360","0"
"France","Senegal","2009","310","","310","0"
"France","Serbia (and Kosovo: S/RES/1244 (1999))","2009","9437","","9437","0"
"France","Sierra Leone","2009","379","","379","0"
"France","Slovakia","2009","122","","122","0"
"France","Somalia","2009","835","","835","0"
"France","South Africa","2009","19","","19","0"
"France","Sri Lanka","2009","20464","","20464","0"
"France","State of Palestine","2009","152","","152","0"
"France","Sudan","2009","1368","","1368","0"
"France","Syrian Arab Rep.","2009","244","","244","0"
"France","Tajikistan","2009","29","","29","0"
"France","The former Yugoslav Rep. of Macedonia","2009","235","","235","0"
"France","Togo","2009","633","","633","0"
"France","Tunisia","2009","279","","279","0"
"France","Turkey","2009","10895","","10895","0"
"France","Turkmenistan","2009","10","","10","0"
"France","Uganda","2009","44","","44","0"
"France","Ukraine","2009","702","","702","0"
"France","Uzbekistan","2009","198","","198","0"
"France","Various","2009","45194","","45194","0"
"France","Venezuela (Bolivarian Republic of)","2009","9","","9","0"
"France","Viet Nam","2009","8771","","8771","0"
"France","Western Sahara","2009","11","","11","0"
"France","Yemen","2009","6","","6","0"
"France","Zimbabwe","2009","24","","24","0"
"Germany","Afghanistan","2009","30320","","30320","0"
"Germany","Albania","2009","2310","","2310","0"
"Germany","Algeria","2009","2317","","2317","0"
"Germany","Angola","2009","3433","","3433","0"
"Germany","Antigua and Barbuda","2009","1","","1","0"
"Germany","Argentina","2009","31","","31","0"
"Germany","Armenia","2009","3691","","3691","0"
"Germany","Australia","2009","23","","23","0"
"Germany","Austria","2009","3","","3","0"
"Germany","Azerbaijan","2009","6063","","6063","0"
"Germany","Bahamas","2009","0","","0","0"
"Germany","Bahrain","2009","18","","18","0"
"Germany","Bangladesh","2009","942","","942","0"
"Germany","Barbados","2009","0","","0","0"
"Germany","Belarus","2009","1694","","1694","0"
"Germany","Belgium","2009","2","","2","0"
"Germany","Belize","2009","1","","1","0"
"Germany","Benin","2009","167","","167","0"
"Germany","Bhutan","2009","98","","98","0"
"Germany","Bolivia (Plurinational State of)","2009","25","","25","0"
"Germany","Bosnia and Herzegovina","2009","24947","","24947","0"
"Germany","Botswana","2009","1","","1","0"
"Germany","Brazil","2009","163","","163","0"
"Germany","Bulgaria","2009","191","","191","0"
"Germany","Burkina Faso","2009","189","","189","0"
"Germany","Burundi","2009","145","","145","0"
"Germany","Cabo Verde","2009","3","","3","0"
"Germany","Cambodia","2009","156","","156","0"
"Germany","Cameroon","2009","1180","","1180","0"
"Germany","Canada","2009","52","","52","0"
"Germany","Central African Rep.","2009","15","","15","0"
"Germany","Chad","2009","39","","39","0"
"Germany","Chile","2009","430","","430","0"
"Germany","China","2009","3654","","3654","0"
"Germany","Colombia","2009","229","","229","0"
"Germany","Comoros","2009","3","","3","0"
"Germany","Congo","2009","684","","684","0"
"Germany","Costa Rica","2009","8","","8","0"
"Germany","Côte d'Ivoire","2009","494","","494","0"
"Germany","Croatia","2009","4100","","4100","0"
"Germany","Cuba","2009","381","","381","0"
"Germany","Cyprus","2009","1","","1","0"
"Germany","Czech Rep.","2009","160","","160","0"
"Germany","Dem. People's Rep. of Korea","2009","156","","156","0"
"Germany","Dem. Rep. of the Congo","2009","6093","","6093","0"
"Germany","Denmark","2009","0","","0","0"
"Germany","Djibouti","2009","6","","6","0"
"Germany","Dominica","2009","2","","2","0"
"Germany","Dominican Rep.","2009","46","","46","0"
"Germany","Ecuador","2009","127","","127","0"
"Germany","Egypt","2009","832","","832","0"
"Germany","El Salvador","2009","12","","12","0"
"Germany","Equatorial Guinea","2009","23","","23","0"
"Germany","Eritrea","2009","4293","","4293","0"
"Germany","Estonia","2009","79","","79","0"
"Germany","Ethiopia","2009","4631","","4631","0"
"Germany","Fiji","2009","0","","0","0"
"Germany","Finland","2009","0","","0","0"
"Germany","France","2009","2","","2","0"
"Germany","Gabon","2009","10","","10","0"
"Germany","Gambia","2009","469","","469","0"
"Germany","Georgia","2009","1943","","1943","0"
"Germany","Ghana","2009","4270","","4270","0"
"Germany","Greece","2009","6","","6","0"
"Germany","Grenada","2009","0","","0","0"
"Germany","Guatemala","2009","6","","6","0"
"Germany","Guinea","2009","572","","572","0"
"Germany","Guinea-Bissau","2009","38","","38","0"
"Germany","Guyana","2009","2","","2","0"
"Germany","Haiti","2009","40","","40","0"
"Germany","Honduras","2009","10","","10","0"
"Germany","Hungary","2009","133","","133","0"
"Germany","Iceland","2009","1","","1","0"
"Germany","India","2009","2879","","2879","0"
"Germany","Indonesia","2009","108","","108","0"
"Germany","Iraq","2009","49033","","49033","0"
"Germany","Ireland","2009","0","","0","0"
"Germany","Islamic Rep. of Iran","2009","20226","","20226","0"
"Germany","Israel","2009","350","","350","0"
"Germany","Italy","2009","10","","10","0"
"Germany","Jamaica","2009","16","","16","0"
"Germany","Japan","2009","121","","121","0"
"Germany","Jordan","2009","788","","788","0"
"Germany","Kazakhstan","2009","1665","","1665","0"
"Germany","Kenya","2009","253","","253","0"
"Germany","Kiribati","2009","0","","0","0"
"Germany","Kuwait","2009","151","","151","0"
"Germany","Kyrgyzstan","2009","1358","","1358","0"
"Germany","Lao People's Dem. Rep.","2009","173","","173","0"
"Germany","Latvia","2009","468","","468","0"
"Germany","Lebanon","2009","12950","","12950","0"
"Germany","Lesotho","2009","2","","2","0"
"Germany","Liberia","2009","357","","357","0"
"Germany","Libya","2009","571","","571","0"
"Germany","Lithuania","2009","208","","208","0"
"Germany","Luxembourg","2009","0","","0","0"
"Germany","Madagascar","2009","15","","15","0"
"Germany","Malawi","2009","2","","2","0"
"Germany","Malaysia","2009","27","","27","0"
"Germany","Maldives","2009","0","","0","0"
"Germany","Mali","2009","72","","72","0"
"Germany","Malta","2009","2","","2","0"
"Germany","Mauritania","2009","47","","47","0"
"Germany","Mauritius","2009","1","","1","0"
"Germany","Mexico","2009","32","","32","0"
"Germany","Monaco","2009","1","","1","0"
"Germany","Mongolia","2009","178","","178","0"
"Germany","Montenegro","2009","2425","","2425","0"
"Germany","Morocco","2009","1530","","1530","0"
"Germany","Mozambique","2009","92","","92","0"
"Germany","Myanmar","2009","756","","756","0"
"Germany","Namibia","2009","7","","7","0"
"Germany","Nepal","2009","350","","350","0"
"Germany","Netherlands","2009","7","","7","0"
"Germany","New Zealand","2009","9","","9","0"
"Germany","Nicaragua","2009","7","","7","0"
"Germany","Niger","2009","192","","192","0"
"Germany","Nigeria","2009","2640","","2640","0"
"Germany","Oman","2009","42","","42","0"
"Germany","Pakistan","2009","7383","","7383","0"
"Germany","Palau","2009","0","","0","0"
"Germany","Panama","2009","3","","3","0"
"Germany","Papua New Guinea","2009","0","","0","0"
"Germany","Paraguay","2009","7","","7","0"
"Germany","Peru","2009","221","","221","0"
"Germany","Philippines","2009","216","","216","0"
"Germany","Poland","2009","743","","743","0"
"Germany","Portugal","2009","4","","4","0"
"Germany","Qatar","2009","55","","55","0"
"Germany","Rep. of Korea","2009","226","","226","0"
"Germany","Rep. of Moldova","2009","4041","","4041","0"
"Germany","Romania","2009","674","","674","0"
"Germany","Russian Federation","2009","37642","","37642","0"
"Germany","Rwanda","2009","224","","224","0"
"Germany","Saint Lucia","2009","0","","0","0"
"Germany","Saint Vincent and the Grenadines","2009","1","","1","0"
"Germany","Samoa","2009","0","","0","0"
"Germany","Sao Tome and Principe","2009","0","","0","0"
"Germany","Saudi Arabia","2009","364","","364","0"
"Germany","Senegal","2009","152","","152","0"
"Germany","Serbia (and Kosovo: S/RES/1244 (1999))","2009","123700","","123700","0"
"Germany","Seychelles","2009","1","","1","0"
"Germany","Sierra Leone","2009","686","","686","0"
"Germany","Singapore","2009","9","","9","0"
"Germany","Slovakia","2009","32","","32","0"
"Germany","Slovenia","2009","15","","15","0"
"Germany","Somalia","2009","2407","","2407","0"
"Germany","South Africa","2009","51","","51","0"
"Germany","Spain","2009","3","","3","0"
"Germany","Sri Lanka","2009","12248","","12248","0"
"Germany","Stateless","2009","5097","","5097","0"
"Germany","Sudan","2009","546","","546","0"
"Germany","Suriname","2009","1","","1","0"
"Germany","Swaziland","2009","0","","0","0"
"Germany","Sweden","2009","1","","1","0"
"Germany","Switzerland","2009","4","","4","0"
"Germany","Syrian Arab Rep.","2009","10217","","10217","0"
"Germany","Tajikistan","2009","129","","129","0"
"Germany","Thailand","2009","235","","235","0"
"Germany","The former Yugoslav Rep. of Macedonia","2009","6081","","6081","0"
"Germany","Togo","2009","4592","","4592","0"
"Germany","Tonga","2009","0","","0","0"
"Germany","Trinidad and Tobago","2009","1","","1","0"
"Germany","Tunisia","2009","772","","772","0"
"Germany","Turkey","2009","101068","","101068","0"
"Germany","Turkmenistan","2009","210","","210","0"
"Germany","Tuvalu","2009","0","","0","0"
"Germany","Uganda","2009","260","","260","0"
"Germany","Ukraine","2009","18412","","18412","0"
"Germany","United Arab Emirates","2009","357","","357","0"
"Germany","United Kingdom","2009","3","","3","0"
"Germany","United Rep. of Tanzania","2009","30","","30","0"
"Germany","United States","2009","298","","298","0"
"Germany","Uruguay","2009","10","","10","0"
"Germany","Uzbekistan","2009","1933","","1933","0"
"Germany","Various","2009","14447","","14447","0"
"Germany","Venezuela (Bolivarian Republic of)","2009","35","","35","0"
"Germany","Viet Nam","2009","25215","","25215","0"
"Germany","Yemen","2009","396","","396","0"
"Germany","Zambia","2009","12","","12","0"
"Germany","Zimbabwe","2009","42","","42","0"
"Greece","Afghanistan","2009","148","0","148","0"
"Greece","Albania","2009","2","0","2","0"
"Greece","Algeria","2009","7","0","7","0"
"Greece","Angola","2009","1","0","1","0"
"Greece","Armenia","2009","3","0","3","0"
"Greece","Australia","2009","0","0","0","0"
"Greece","Azerbaijan","2009","13","0","13","0"
"Greece","Bangladesh","2009","18","0","18","0"
"Greece","Burundi","2009","9","0","9","0"
"Greece","Cameroon","2009","4","0","4","0"
"Greece","Central African Rep.","2009","9","0","9","0"
"Greece","Chad","2009","0","0","0","0"
"Greece","China","2009","5","0","5","0"
"Greece","Congo","2009","0","0","0","0"
"Greece","Côte d'Ivoire","2009","7","0","7","0"
"Greece","Dem. Rep. of the Congo","2009","35","0","35","0"
"Greece","Egypt","2009","3","0","3","0"
"Greece","Eritrea","2009","5","0","5","0"
"Greece","Ethiopia","2009","15","0","15","0"
"Greece","Ghana","2009","3","0","3","0"
"Greece","Guinea","2009","0","0","0","0"
"Greece","Guinea-Bissau","2009","1","0","1","0"
"Greece","India","2009","6","0","6","0"
"Greece","Iraq","2009","713","0","713","0"
"Greece","Islamic Rep. of Iran","2009","182","0","182","0"
"Greece","Jordan","2009","2","0","2","0"
"Greece","Kenya","2009","0","0","0","0"
"Greece","Lebanon","2009","2","0","2","0"
"Greece","Liberia","2009","3","0","3","0"
"Greece","Libya","2009","7","0","7","0"
"Greece","Morocco","2009","3","0","3","0"
"Greece","Myanmar","2009","8","0","8","0"
"Greece","Nigeria","2009","35","0","35","0"
"Greece","Pakistan","2009","14","0","14","0"
"Greece","Russian Federation","2009","18","0","18","0"
"Greece","Rwanda","2009","9","0","9","0"
"Greece","Serbia (and Kosovo: S/RES/1244 (1999))","2009","11","0","11","0"
"Greece","Sierra Leone","2009","23","0","23","0"
"Greece","Somalia","2009","23","0","23","0"
"Greece","Sri Lanka","2009","22","0","22","0"
"Greece","State of Palestine","2009","9","0","9","0"
"Greece","Sudan","2009","39","0","39","0"
"Greece","Syrian Arab Rep.","2009","19","0","19","0"
"Greece","Tunisia","2009","1","0","1","0"
"Greece","Turkey","2009","141","0","141","0"
"Greece","Ukraine","2009","3","0","3","0"
"Greece","Uzbekistan","2009","11","0","11","0"
"Greece","Various","2009","99","0","99","0"
"Greece","Viet Nam","2009","3","0","3","0"
"Greece","Zimbabwe","2009","1","0","1","0"
"Hungary","Afghanistan","2009","1907","1907","1907","1907"
"Hungary","Albania","2009","4","4","4","4"
"Hungary","Algeria","2009","45","45","45","45"
"Hungary","Angola","2009","19","19","19","19"
"Hungary","Armenia","2009","143","143","143","143"
"Hungary","Azerbaijan","2009","5","5","5","5"
"Hungary","Bangladesh","2009","0","0","0","0"
"Hungary","Belarus","2009","3","3","3","3"
"Hungary","Bosnia and Herzegovina","2009","8","8","8","8"
"Hungary","Burkina Faso","2009","1","1","1","1"
"Hungary","Burundi","2009","2","2","2","2"
"Hungary","Cameroon","2009","57","57","57","57"
"Hungary","China","2009","19","19","19","19"
"Hungary","Colombia","2009","1","1","1","1"
"Hungary","Comoros","2009","2","2","2","2"
"Hungary","Congo","2009","15","15","15","15"
"Hungary","Côte d'Ivoire","2009","18","18","18","18"
"Hungary","Cuba","2009","60","60","60","60"
"Hungary","Dem. Rep. of the Congo","2009","27","27","27","27"
"Hungary","Ecuador","2009","1","1","1","1"
"Hungary","Egypt","2009","5","5","5","5"
"Hungary","Eritrea","2009","3","3","3","3"
"Hungary","Ethiopia","2009","53","53","53","53"
"Hungary","Georgia","2009","104","104","104","104"
"Hungary","Ghana","2009","3","3","3","3"
"Hungary","Guinea","2009","7","7","7","7"
"Hungary","Guinea-Bissau","2009","1","1","1","1"
"Hungary","India","2009","1","1","1","1"
"Hungary","Iraq","2009","1166","1166","1166","1166"
"Hungary","Islamic Rep. of Iran","2009","164","164","164","164"
"Hungary","Jordan","2009","1","1","1","1"
"Hungary","Kazakhstan","2009","1","1","1","1"
"Hungary","Kenya","2009","5","5","5","5"
"Hungary","Lebanon","2009","6","6","6","6"
"Hungary","Liberia","2009","17","17","17","17"
"Hungary","Libya","2009","9","9","9","9"
"Hungary","Madagascar","2009","1","1","1","1"
"Hungary","Mauritania","2009","1","1","1","1"
"Hungary","Morocco","2009","2","2","2","2"
"Hungary","Myanmar","2009","3","3","3","3"
"Hungary","Nepal","2009","15","15","15","15"
"Hungary","Nigeria","2009","94","94","94","94"
"Hungary","Pakistan","2009","66","66","66","66"
"Hungary","Rep. of Moldova","2009","3","3","3","3"
"Hungary","Romania","2009","27","27","27","27"
"Hungary","Russian Federation","2009","133","133","133","133"
"Hungary","Rwanda","2009","1","1","1","1"
"Hungary","Saudi Arabia","2009","1","1","1","1"
"Hungary","Senegal","2009","6","6","6","6"
"Hungary","Serbia (and Kosovo: S/RES/1244 (1999))","2009","702","702","702","702"
"Hungary","Sierra Leone","2009","56","56","56","56"
"Hungary","Somalia","2009","397","397","397","397"
"Hungary","Sri Lanka","2009","10","10","10","10"
"Hungary","State of Palestine","2009","110","110","110","110"
"Hungary","Stateless","2009","38","38","38","38"
"Hungary","Sudan","2009","124","124","124","124"
"Hungary","Swaziland","2009","1","1","1","1"
"Hungary","Syrian Arab Rep.","2009","43","43","43","43"
"Hungary","The former Yugoslav Rep. of Macedonia","2009","5","5","5","5"
"Hungary","Togo","2009","9","9","9","9"
"Hungary","Tunisia","2009","5","5","5","5"
"Hungary","Turkey","2009","76","76","76","76"
"Hungary","Uganda","2009","7","7","7","7"
"Hungary","Ukraine","2009","47","47","47","47"
"Hungary","United Rep. of Tanzania","2009","3","3","3","3"
"Hungary","Uzbekistan","2009","10","10","10","10"
"Hungary","Various","2009","156","156","156","156"
"Hungary","Viet Nam","2009","3","3","3","3"
"Hungary","Zimbabwe","2009","6","6","6","6"
"Iceland","Afghanistan","2009","4","","4","0"
"Iceland","Albania","2009","12","","12","0"
"Iceland","Armenia","2009","4","","4","0"
"Iceland","Belarus","2009","0","","0","0"
"Iceland","China","2009","1","","1","0"
"Iceland","Dem. Rep. of the Congo","2009","1","","1","0"
"Iceland","Eritrea","2009","4","","4","0"
"Iceland","Georgia","2009","1","","1","0"
"Iceland","Iraq","2009","4","","4","0"
"Iceland","Islamic Rep. of Iran","2009","6","","6","0"
"Iceland","Kenya","2009","1","","1","0"
"Iceland","Libya","2009","1","","1","0"
"Iceland","Mauritania","2009","1","","1","0"
"Iceland","Morocco","2009","1","","1","0"
"Iceland","Myanmar","2009","1","","1","0"
"Iceland","Romania","2009","1","","1","0"
"Iceland","Russian Federation","2009","5","","5","0"
"Iceland","Serbia (and Kosovo: S/RES/1244 (1999))","2009","3","","3","0"
"Iceland","Sierra Leone","2009","1","","1","0"
"Iceland","Slovakia","2009","4","","4","0"
"Iceland","Sri Lanka","2009","4","","4","0"
"Iceland","Syrian Arab Rep.","2009","1","","1","0"
"Iceland","Uzbekistan","2009","1","","1","0"
"Ireland","Afghanistan","2009","149","0","149","0"
"Ireland","Albania","2009","175","0","175","0"
"Ireland","Algeria","2009","167","0","167","0"
"Ireland","Angola","2009","361","0","361","0"
"Ireland","Argentina","2009","1","0","1","0"
"Ireland","Armenia","2009","43","0","43","0"
"Ireland","Azerbaijan","2009","31","0","31","0"
"Ireland","Bangladesh","2009","23","0","23","0"
"Ireland","Belarus","2009","61","0","61","0"
"Ireland","Belgium","2009","13","0","13","0"
"Ireland","Benin","2009","3","0","3","0"
"Ireland","Bhutan","2009","12","0","12","0"
"Ireland","Bosnia and Herzegovina","2009","13","0","13","0"
"Ireland","Brazil","2009","4","0","4","0"
"Ireland","Bulgaria","2009","44","0","44","0"
"Ireland","Burkina Faso","2009","2","0","2","0"
"Ireland","Burundi","2009","42","0","42","0"
"Ireland","Cambodia","2009","14","0","14","0"
"Ireland","Cameroon","2009","167","0","167","0"
"Ireland","Central African Rep.","2009","9","0","9","0"
"Ireland","Chad","2009","12","0","12","0"
"Ireland","China","2009","95","0","95","0"
"Ireland","Colombia","2009","1","0","1","0"
"Ireland","Congo","2009","47","0","47","0"
"Ireland","Côte d'Ivoire","2009","63","0","63","0"
"Ireland","Croatia","2009","317","0","317","0"
"Ireland","Cuba","2009","8","0","8","0"
"Ireland","Czech Rep.","2009","125","0","125","0"
"Ireland","Dem. People's Rep. of Korea","2009","6","0","6","0"
"Ireland","Dem. Rep. of the Congo","2009","541","0","541","0"
"Ireland","Egypt","2009","34","0","34","0"
"Ireland","Eritrea","2009","118","0","118","0"
"Ireland","Estonia","2009","12","0","12","0"
"Ireland","Ethiopia","2009","65","0","65","0"
"Ireland","Gambia","2009","7","0","7","0"
"Ireland","Georgia","2009","169","0","169","0"
"Ireland","Ghana","2009","56","0","56","0"
"Ireland","Guatemala","2009","2","0","2","0"
"Ireland","Guinea","2009","63","0","63","0"
"Ireland","Guinea-Bissau","2009","3","0","3","0"
"Ireland","Hungary","2009","4","0","4","0"
"Ireland","India","2009","5","0","5","0"
"Ireland","Indonesia","2009","1","0","1","0"
"Ireland","Iraq","2009","688","0","688","0"
"Ireland","Islamic Rep. of Iran","2009","197","0","197","0"
"Ireland","Israel","2009","26","0","26","0"
"Ireland","Jamaica","2009","9","0","9","0"
"Ireland","Japan","2009","2","0","2","0"
"Ireland","Jordan","2009","4","0","4","0"
"Ireland","Kazakhstan","2009","74","0","74","0"
"Ireland","Kenya","2009","110","0","110","0"
"Ireland","Kuwait","2009","59","0","59","0"
"Ireland","Kyrgyzstan","2009","18","0","18","0"
"Ireland","Latvia","2009","23","0","23","0"
"Ireland","Lebanon","2009","19","0","19","0"
"Ireland","Lesotho","2009","2","0","2","0"
"Ireland","Liberia","2009","42","0","42","0"
"Ireland","Libya","2009","79","0","79","0"
"Ireland","Lithuania","2009","22","0","22","0"
"Ireland","Malawi","2009","4","0","4","0"
"Ireland","Malaysia","2009","1","0","1","0"
"Ireland","Mauritania","2009","6","0","6","0"
"Ireland","Mauritius","2009","1","0","1","0"
"Ireland","Mongolia","2009","2","0","2","0"
"Ireland","Morocco","2009","9","0","9","0"
"Ireland","Mozambique","2009","7","0","7","0"
"Ireland","Myanmar","2009","8","0","8","0"
"Ireland","Nepal","2009","4","0","4","0"
"Ireland","Nicaragua","2009","1","0","1","0"
"Ireland","Niger","2009","8","0","8","0"
"Ireland","Nigeria","2009","766","0","766","0"
"Ireland","Pakistan","2009","221","0","221","0"
"Ireland","Philippines","2009","3","0","3","0"
"Ireland","Poland","2009","52","0","52","0"
"Ireland","Rep. of Moldova","2009","227","0","227","0"
"Ireland","Romania","2009","369","0","369","0"
"Ireland","Russian Federation","2009","271","0","271","0"
"Ireland","Rwanda","2009","82","0","82","0"
"Ireland","Saudi Arabia","2009","1","0","1","0"
"Ireland","Senegal","2009","0","0","0","0"
"Ireland","Serbia (and Kosovo: S/RES/1244 (1999))","2009","324","0","324","0"
"Ireland","Sierra Leone","2009","89","0","89","0"
"Ireland","Slovakia","2009","28","0","28","0"
"Ireland","Somalia","2009","590","0","590","0"
"Ireland","South Africa","2009","49","0","49","0"
"Ireland","Sri Lanka","2009","31","0","31","0"
"Ireland","State of Palestine","2009","116","0","116","0"
"Ireland","Stateless","2009","19","0","19","0"
"Ireland","Sudan","2009","445","0","445","0"
"Ireland","Swaziland","2009","1","0","1","0"
"Ireland","Switzerland","2009","5","0","5","0"
"Ireland","Syrian Arab Rep.","2009","34","0","34","0"
"Ireland","Tajikistan","2009","9","0","9","0"
"Ireland","Thailand","2009","2","0","2","0"
"Ireland","The former Yugoslav Rep. of Macedonia","2009","15","0","15","0"
"Ireland","Togo","2009","96","0","96","0"
"Ireland","Tunisia","2009","1","0","1","0"
"Ireland","Turkey","2009","23","0","23","0"
"Ireland","Turkmenistan","2009","1","0","1","0"
"Ireland","Uganda","2009","81","0","81","0"
"Ireland","Ukraine","2009","193","0","193","0"
"Ireland","United Kingdom","2009","8","0","8","0"
"Ireland","United Rep. of Tanzania","2009","9","0","9","0"
"Ireland","Uzbekistan","2009","39","0","39","0"
"Ireland","Various","2009","435","0","435","0"
"Ireland","Venezuela (Bolivarian Republic of)","2009","2","0","2","0"
"Ireland","Viet Nam","2009","4","0","4","0"
"Ireland","Yemen","2009","3","0","3","0"
"Ireland","Zambia","2009","5","0","5","0"
"Ireland","Zimbabwe","2009","409","0","409","0"
"Italy","Afghanistan","2009","3039","","3039","0"
"Italy","Albania","2009","205","","205","0"
"Italy","Algeria","2009","60","","60","0"
"Italy","Angola","2009","126","","126","0"
"Italy","Armenia","2009","73","","73","0"
"Italy","Azerbaijan","2009","41","","41","0"
"Italy","Bangladesh","2009","634","","634","0"
"Italy","Belarus","2009","16","","16","0"
"Italy","Benin","2009","41","","41","0"
"Italy","Bhutan","2009","1","","1","0"
"Italy","Bolivia (Plurinational State of)","2009","5","","5","0"
"Italy","Bosnia and Herzegovina","2009","95","","95","0"
"Italy","Brazil","2009","10","","10","0"
"Italy","Burkina Faso","2009","284","","284","0"
"Italy","Burundi","2009","16","","16","0"
"Italy","Cabo Verde","2009","17","","17","0"
"Italy","Cambodia","2009","0","","0","0"
"Italy","Cameroon","2009","509","","509","0"
"Italy","Central African Rep.","2009","13","","13","0"
"Italy","Chad","2009","60","","60","0"
"Italy","Chile","2009","3","","3","0"
"Italy","China","2009","62","","62","0"
"Italy","Colombia","2009","411","","411","0"
"Italy","Congo","2009","684","","684","0"
"Italy","Côte d'Ivoire","2009","2900","","2900","0"
"Italy","Croatia","2009","16","","16","0"
"Italy","Cuba","2009","84","","84","0"
"Italy","Dem. Rep. of the Congo","2009","482","","482","0"
"Italy","Djibouti","2009","1","","1","0"
"Italy","Ecuador","2009","6","","6","0"
"Italy","Egypt","2009","21","","21","0"
"Italy","El Salvador","2009","23","","23","0"
"Italy","Equatorial Guinea","2009","1","","1","0"
"Italy","Eritrea","2009","10377","","10377","0"
"Italy","Ethiopia","2009","2207","","2207","0"
"Italy","Gabon","2009","2","","2","0"
"Italy","Gambia","2009","207","","207","0"
"Italy","Georgia","2009","89","","89","0"
"Italy","Ghana","2009","602","","602","0"
"Italy","Guatemala","2009","3","","3","0"
"Italy","Guinea","2009","473","","473","0"
"Italy","Guinea-Bissau","2009","12","","12","0"
"Italy","Honduras","2009","2","","2","0"
"Italy","India","2009","83","","83","0"
"Italy","Iraq","2009","1843","","1843","0"
"Italy","Islamic Rep. of Iran","2009","694","","694","0"
"Italy","Jordan","2009","5","","5","0"
"Italy","Kazakhstan","2009","5","","5","0"
"Italy","Kenya","2009","54","","54","0"
"Italy","Kuwait","2009","3","","3","0"
"Italy","Kyrgyzstan","2009","3","","3","0"
"Italy","Lebanon","2009","194","","194","0"
"Italy","Liberia","2009","1359","","1359","0"
"Italy","Libya","2009","8","","8","0"
"Italy","Lithuania","2009","1","","1","0"
"Italy","Madagascar","2009","4","","4","0"
"Italy","Malawi","2009","1","","1","0"
"Italy","Mali","2009","110","","110","0"
"Italy","Mauritania","2009","75","","75","0"
"Italy","Mongolia","2009","5","","5","0"
"Italy","Montenegro","2009","13","","13","0"
"Italy","Morocco","2009","76","","76","0"
"Italy","Myanmar","2009","10","","10","0"
"Italy","Nepal","2009","20","","20","0"
